aspect,negative_review_mentions,negative_review_share_pct,positive_review_mentions,positive_review_share_pct,positive_minus_negative_gap_pp,business_role
skin_reaction,238,44.57,36.0,20.57,-24.0,Two-sided experience driver
hydration,206,38.58,123.0,70.29,31.71,Two-sided experience driver
texture_finish,173,32.4,113.0,64.57,32.17,Two-sided experience driver
scent,108,20.22,45.0,25.71,5.49,Two-sided experience driver
absorption_layering,107,20.04,44.0,25.14,5.1,Two-sided experience driver
visible_results,100,18.73,83.0,47.43,28.7,Primary positive driver
skin_type_fit,88,16.48,37.0,21.14,4.66,Primary positive driver
ingredients_formula,75,14.04,17.0,9.71,-4.33,Secondary theme
value_price,71,13.3,10.0,5.71,-7.59,Secondary theme
packaging_quantity,25,4.68,27.0,15.43,10.75,Secondary theme
soothing_barrier_repair,13,2.43,25.0,14.29,11.86,Secondary theme
other,2,0.37,0.0,0.0,-0.37,Secondary theme
service_fulfillment,1,0.19,0.0,0.0,-0.19,Secondary theme
