aspect,reviews_mentioning_theme,unique_brands,unique_product_families,share_of_accepted_negative_reviews_pct,rank
skin_reaction,238,24,32,44.57,1
hydration,206,25,33,38.58,2
texture_finish,173,22,34,32.4,3
scent,108,18,23,20.22,4
absorption_layering,107,17,25,20.04,5
visible_results,100,21,31,18.73,6
skin_type_fit,88,19,24,16.48,7
ingredients_formula,75,16,24,14.04,8
value_price,71,21,28,13.3,9
packaging_quantity,25,12,15,4.68,10
soothing_barrier_repair,13,5,9,2.43,11
other,2,2,2,0.37,12
service_fulfillment,1,1,1,0.19,13
